,Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,Lp,Lr,plastic,fcompact,wcompact
256,W,W8X28,W8X28,F,28.0,8.25,8.06,8      ,6.54,6  1/2 ,0.285,  5/16,  3/16,0.465,  7/16,0.859, 15/16,  5/8 ,7.03,22.3,98.0,27.2,24.3,3.45,21.7,10.1,6.63,1.62,0.537,312,12.4,9.44,5.52,13.4,1.84,7.60,34.5,41.0,5.7221657438421,20.978437943357612,113.33333333333333,1,1
257,W,W8X24,W8X24,F,24.0,7.08,7.93,7  7/8 ,6.50,6  1/2 ,0.245,  1/4 ,  1/8 ,0.400,  3/8 ,0.794,  7/8 ,  9/16,8.12,25.9,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,0.346,259,12.2,7.95,4.71,11.3,1.81,7.53,34.2,40.7,5.686843733077642,18.897434547886977,96.25,1,1
258,W,W8X21,W8X21,F,21.0,6.16,8.28,8  1/4 ,5.27,5  1/4 ,0.250,  1/4 ,  1/8 ,0.400,  3/8 ,0.700,  7/8 ,  9/16,6.59,27.5,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,0.282,152,10.4,5.47,3.96,10.1,1.46,7.88,31.3,36.6,4.450573356321633,14.778301262993699,84.99999999999999,1,1
259,W,W8X18,W8X18,F,18.0,5.26,8.14,8  1/8 ,5.25,5  1/4 ,0.230,  1/4 ,  1/8 ,0.330,  5/16,0.630, 13/16,  9/16,7.95,29.9,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23,0.172,122,10.3,4.44,3.23,8.37,1.43,7.81,31.0,36.3,4.344607324028261,13.458687148054421,70.83333333333333,1,1
260,W,W8X15,W8X15,F,15.0,4.44,8.11,8  1/8 ,4.02,4      ,0.245,  1/4 ,  1/8 ,0.315,  5/16,0.615, 13/16,  9/16,6.37,28.1,48.0,13.6,11.8,3.29,3.41,2.67,1.7,0.8759999999999999,0.137,51.8,7.81,2.47,2.31,6.64,1.06,7.80,27.3,31.3,3.0942081429664676,10.033860158691231,56.666666666666664,1,1
261,W,W8X13,W8X13,F,13.0,3.84,7.99,8      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.255,  1/4 ,0.555,  3/4 ,  9/16,7.84,29.9,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,40.8,7.74,1.97,1.86,5.55,1.03,7.74,27.0,31.0,2.977645507443759,9.254285039067522,47.5,1,1
263,W,W6X25,W6X25,F,25.0,7.34,6.38,6  3/8 ,6.08,6  1/8 ,0.320,  5/16,  3/16,0.455,  7/16,0.705, 15/16,  9/16,6.68,15.5,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,0.461,150,9.01,6.23,3.88,9.39,1.74,5.93,29.9,36.0,5.368945636197526,23.727444769855765,78.74999999999999,1,1
264,W,W6X20,W6X20,F,20.0,5.87,6.20,6  1/4 ,6.02,6      ,0.260,  1/4 ,  1/8 ,0.365,  3/8 ,0.615,  7/8 ,  9/16,8.25,19.1,41.4,15.0,13.4,2.66,13.3,6.72,4.41,1.5,0.240,113,8.78,4.82,3.07,7.38,1.70,5.84,29.5,35.5,5.298301614668611,19.742760835701763,62.5,1,1
266,W,W6X16,W6X16,F,16.0,4.74,6.28,6  1/4 ,4.03,4      ,0.260,  1/4 ,  1/8 ,0.405,  3/8 ,0.655,  7/8 ,  9/16,4.98,19.1,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.9670000000000001,0.223,38.2,5.92,2.42,2.24,5.77,1.13,5.88,23.7,27.7,3.415638440923031,14.084829278207124,48.75,1,1
267,W,W6X12,W6X12,F,12.0,3.55,6.03,6      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.280,  1/4 ,0.530,  3/4 ,  9/16,7.14,21.6,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.9179999999999999,0.0903,24.7,5.75,1.61,1.52,4.08,1.08,5.75,23.2,27.2,3.2425605881771893,11.201574351127043,34.583333333333336,1,1
270,W,W5X19,W5X19,F,19.0,5.56,5.15,5  1/8 ,5.03,5      ,0.270,  1/4 ,  1/8 ,0.430,  7/16,0.730, 13/16,  7/16,5.85,13.7,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9,5.94,3.21,2.42,5.73,1.45,4.72,24.4,29.4,4.521217377850547,22.959325931361587,48.333333333333336,1,1
271,W,W5X16,W5X16,F,16.0,4.71,5.01,5      ,5.00,5      ,0.240,  1/4 ,  1/8 ,0.360,  3/8 ,0.660,  3/4 ,  7/16,6.94,15.4,21.4,9.63,8.55,2.13,7.51,4.58,3.0,1.26,0.192,40.6,5.81,2.62,1.99,4.74,1.43,4.65,24.0,29.0,4.450573356321633,19.801706381282738,40.12500000000001,1,1
272,W,W4X13,W4X13,F,13.0,3.83,4.16,4  1/8 ,4.06,4      ,0.280,  1/4 ,  1/8 ,0.345,  3/8 ,0.595,  3/4 ,  1/2 ,5.88,10.6,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1.0,0.151,14.0,3.87,1.36,1.24,3.09,1.16,3.82,19.5,23.6,3.5322010764457406,19.20632984722872,26.166666666666668,1,1
